article,truthfulness
"COWARDLY BLACK BLOC THUG Dane Powell Pleads Guilty…Faces 6 Yrs In Prison For Rioting, Assaulting Police During Trump’s Inauguration [VIDEO]",fake
"OBAMA RAMPS UP Militarization Of EPA, FDA, VA While Obsessing Over Taking Guns From Citizens",fake
Israeli minister reveals covert contacts with Saudi Arabia,real
BERNIE SUES To Allow 17 Year Olds To Vote,fake
BREAKING: TRUMP Announces “Phenomenal” Tax Cut Plan For Businesses In Next 2-3 Weeks…Stock Markets Respond [VIDEO],fake
Croatia jails Serb paramilitary commander for war crimes,real
BREAKING: SUPREME COURT BLOCKS TEXAS ABORTION RESTRICTIONS,fake
" GOP Ex-Gov Of New Jersey Attacks Christie For Endorsing Trump, Will Vote Blue If He Wins",fake
 Donald Trump Is Clearly Panicking; Avoiding The People Who Voted For Him,fake
100% FED UP! WITH HILLARY 2016? WE’VE GOT THE AWESOME ANSWER AND REASONS #WHYIMNOTVOTINGFORHILLARY,fake
WATCH TV NEWS CREW GO UNDERCOVER: “Homeless” Taking Credit Cards? Panhandlers Living In High Rent Neighborhoods?,fake
AFTER GM’S TAXPAYER BAILOUT AND $10 BILLION IN FORGIVEN DEBT…Cars Now Made In China [Video],fake
U.S. military says conducted air strike against ISIS in Somalia,real
Nasty Liberal Lawyer Just Got A Dose Of Karma After Saying He’d ‘Be Ok’ If Female Trump Official Was Sexually Assaulted,fake
 Report: Turns Out Most Of Trump’s ‘Charity’ Was Giving Free Golf To His Business Friends,fake
 Greta Van Susteren Slams Fox News For Not Dealing With Roger Ailes Sooner,fake
 OK Cop Shoots Family Dog During Child’s Birthday Party (VIDEO),fake
 Everyone Is Freaking Out Over This ‘Visitor’ At A Bernie Sanders Rally (VIDEO/TWEETS),fake
SHOCKER! BRATTY KID WHO SAID “Screw Our President!” Is Drew Carey’s Son! [Video],fake
Former DNC Chair ‘Felt Like A Slave’… Wanted to Replace Hillary With One Of Two Options After Fainting Spell Gave Campaign ‘Odor of Failure’,fake
"TEXAS CONGRESSMAN Lets Screaming Leftist Agitator Have It: “You sir, SHUT UP!” [Video]",fake
 Hypocrite Jeff Sessions’ OWN WORDS On Perjury Just Came Back To Bite Him On The Ass,fake
 Hilarious: Trevor Noah Has More Fun Than One Guy Should With Last Week’s Debates (VIDEO),fake
HILLARY CLINTON MEETS BLACK LIVES MATTER: Says Members Will Play An ‘Important’ And ‘Constructive Role’ In America’s Future [VIDEO],fake
"REAL INDIAN, GOP Senate Hopeful Shiva Ayyadurai Just Got Great News…FAKE INDIAN Elizabeth Warren Aligns Herself With Hillary Clinton In New Fundraising Email",fake
THE WOMAN WHO Moved Freedom Loving Americans To Tears With Her Passionate IRS Testimony Is Now Asking For Our Help,fake
NATIONAL SECURITY ALERT! Obama Administration Giving Out Green Cards Like Candy To Migrants From Muslim Nations,fake
Obama spars with Cuba's Castro over human rights in historic visit,real
Obama And Kerry Exposed: Secret Side Deals With Iran And No Nuclear Agreement,fake
" Loser Trump EXPLODES On Twitter, Claims Ted Cruz ‘Illegally Stole’ Iowa (TWEETS)",fake
 WATCH: Anderson Cooper And Ana Navarro NAIL Hypocrite Newt Gingrich To The Wall,fake
WATCH: THINGS GOT REALLY AWKWARD When NBC Sent Hoda Over To Help Spike Megyn Kelly’s Miserable Ratings,fake
U.S. says it will take steps after Cambodia's dissolves opposition party,real
South Africa's Ramaphosa gets most nominations ahead of ANC leadership vote,real
"Trump to meet Canada's PM amid tensions over trade, immigration",real
"#BoycottPenzeys: HATEFUL, DIVISIVE Penzeys Spice Co. Owner Threatens Trump Supporters…Brags About Increased Sales Since Calling All Trump Supporters “Racists”",fake
McCain calls on Trump to help Ukraine against Russia attack,real
